Category,ID,Latitude,Longitude
herb2,525,40.05580627,-105.5909543
herb2,526,40.05590598,-105.5909418
herb2,527,40.0558131,-105.5910435
herb2,528,40.0560785,-105.5912145
herb1,529,40.05608574,-105.5906202
herb1,530,40.05633149,-105.5906431
herb2,531,40.05620005,-105.5902344
herb2,532,40.05621478,-105.5908584
herb2,533,40.05544975,-105.5892549
herb2,534,40.05534807,-105.5887044
herb2,535,40.05542555,-105.5890419
herb2,536,40.0560971,-105.5884816
herb2,537,40.0558038,-105.5886899
shrub,538,40.05446647,-105.5894021
shrub,539,40.0544715,-105.5894827
shrub,540,40.05444957,-105.58933
shrub,541,40.05441169,-105.589254
shrub,542,40.05439069,-105.5896239
shrub,543,40.05431289,-105.5896064
shrub,544,40.05420302,-105.5892822
shrub,545,40.05419882,-105.5892333
shrub,546,40.0542322,-105.589072
shrub,547,40.05428512,-105.5890931
shrub,548,40.05406765,-105.5889753
shrub,549,40.05404254,-105.5896194
shrub,550,40.05382162,-105.5896823
shrub,551,40.05387961,-105.5896664
shrub,552,40.05377733,-105.5892932
shrub,553,40.05374205,-105.5892216
shrub,554,40.05368813,-105.5891763
shrub,555,40.05380727,-105.5891736
shrub,556,40.05376751,-105.5892214
shrub,557,40.05371434,-105.5892298
shrub,558,40.05372845,-105.5892819
shrub,559,40.0536671,-105.5892718
shrub,560,40.05358764,-105.5890961
shrub,561,40.05361892,-105.589092
shrub,562,40.05367384,-105.5892059
shrub,563,40.05481559,-105.590079
shrub,564,40.05486183,-105.5902083
shrub,565,40.05482876,-105.5901809
shrub,566,40.05485198,-105.5902493
shrub,567,40.05481945,-105.5902283
shrub,568,40.05487948,-105.5902929
shrub,569,40.05489624,-105.5901097
shrub,570,40.05481729,-105.5902651
shrub,571,40.05483603,-105.590374
shrub,572,40.05487791,-105.5903789
shrub,573,40.05487245,-105.5904617
shrub,574,40.05468397,-105.5904387
shrub,575,40.05478832,-105.5904175
shrub,576,40.05449201,-105.5902615
shrub,577,40.05447089,-105.590307
shrub,578,40.0545031,-105.5902155
shrub,579,40.05520606,-105.5901666
shrub,580,40.0552411,-105.5902554
shrub,581,40.05521056,-105.5902233
shrub,582,40.05516303,-105.5901452
shrub,583,40.05500833,-105.5901321
shrub,584,40.0551616,-105.5900613
shrub,585,40.05505582,-105.5901387
shrub,586,40.05495607,-105.5898185
shrub,587,40.05495582,-105.5900044
shrub,588,40.05505718,-105.5899324
shrub,589,40.05494423,-105.5900652
shrub,590,40.05496819,-105.590086
shrub,591,40.0551107,-105.5902479
shrub,592,40.05510497,-105.5900869
shrub,593,40.05502989,-105.5900087
shrub,594,40.05517113,-105.5899034
shrub,595,40.0550636,-105.5898774
shrub,596,40.05523722,-105.5900961
shrub,597,40.05515305,-105.5900043
shrub,598,40.0547925,-105.5896106
shrub,599,40.05473676,-105.589644
shrub,600,40.05465919,-105.58961
shrub,601,40.05472741,-105.5897124
shrub,602,40.05478853,-105.5896976
shrub,603,40.05486587,-105.5897543
shrub,604,40.05491617,-105.5898448
shrub,605,40.05506123,-105.5896933
shrub,606,40.05506289,-105.5898109
shrub,607,40.05525265,-105.589971
shrub,608,40.05538056,-105.5897767
shrub,609,40.05520542,-105.5897607
shrub,610,40.05514586,-105.589744
shrub,611,40.05528415,-105.5898902
shrub,612,40.05541443,-105.5898241
shrub,613,40.05528566,-105.5900508
shrub,614,40.05531316,-105.590029
shrub,615,40.05536621,-105.5899839
shrub,616,40.05513994,-105.5894853
shrub,617,40.05532986,-105.5896401
shrub,618,40.05531708,-105.5897074
shrub,619,40.0552429,-105.5897525
shrub,620,40.05533262,-105.5898024
shrub,621,40.05523722,-105.5898084
shrub,622,40.05532615,-105.5899274
shrub,623,40.05536829,-105.589739
shrub,624,40.05511101,-105.5899748
shrub,625,40.05548813,-105.5899292
shrub,626,40.05546638,-105.5899365
shrub,627,40.05551156,-105.5901434
shrub,628,40.05548065,-105.5901131
shrub,629,40.05557872,-105.5900119
shrub,630,40.05550735,-105.5899088
shrub,631,40.05555681,-105.5899195
shrub,632,40.05555008,-105.5896186
shrub,633,40.05556472,-105.5901533
shrub,634,40.0553993,-105.5900068
shrub,635,40.05549563,-105.5898238
shrub,636,40.05603154,-105.5903113
shrub,637,40.05594027,-105.590295
shrub,638,40.05589713,-105.590271
shrub,639,40.05587728,-105.5902713
shrub,640,40.05585848,-105.5900009
shrub,641,40.05579815,-105.5899871
shrub,642,40.05583235,-105.5898338
shrub,643,40.0559635,-105.5899494
shrub,644,40.05580363,-105.5895533
shrub,645,40.0557524,-105.5896289
shrub,646,40.05593621,-105.58953
shrub,647,40.05595321,-105.5896699
shrub,648,40.05594235,-105.5894931
shrub,649,40.05581458,-105.5897601
shrub,650,40.05575778,-105.589752
shrub,651,40.05588206,-105.589577
shrub,652,40.05562895,-105.5895735
shrub,653,40.0556692,-105.5897254
shrub,654,40.05571456,-105.5898597
shrub,655,40.05568457,-105.5896883
shrub,656,40.05561438,-105.5896059
shrub,657,40.05566886,-105.5898423
shrub,658,40.05554886,-105.5897966
shrub,659,40.05564098,-105.5900008
shrub,660,40.05555299,-105.5893643
shrub,661,40.05543618,-105.5894134
shrub,662,40.05333134,-105.5895018
shrub,663,40.05340337,-105.5892273
shrub,664,40.05320821,-105.5894299
shrub,665,40.05324602,-105.5893138
shrub,666,40.05329279,-105.5892241
shrub,667,40.05324518,-105.589225
shrub,668,40.05309374,-105.5887282
shrub,669,40.05315023,-105.5889826
shrub,670,40.05318289,-105.5890082
shrub,671,40.05303073,-105.5890375
shrub,672,40.05296725,-105.5890085
shrub,673,40.05295277,-105.5890254
shrub,674,40.05287755,-105.5889321
shrub,675,40.05289748,-105.5890256
shrub,676,40.05293206,-105.5889789
shrub,677,40.05307816,-105.5891847
shrub,678,40.05266563,-105.588889
shrub,679,40.05265351,-105.5887444
shrub,680,40.05277675,-105.5891864
shrub,681,40.05300288,-105.5879433
shrub,682,40.05301422,-105.5879031
shrub,683,40.0534386,-105.5852801
shrub,684,40.05313866,-105.5851953
shrub,685,40.05334233,-105.5858426
shrub,686,40.05321237,-105.5860488
shrub,687,40.05311869,-105.5849891
shrub,688,40.05324751,-105.5849242
shrub,689,40.05296891,-105.5850256
shrub,690,40.05309249,-105.5848328
shrub,691,40.05326066,-105.5832707
shrub,692,40.05313391,-105.5833348
shrub,693,40.05325458,-105.5835058
shrub,694,40.05309833,-105.5835409
shrub,695,40.0529613,-105.583468
shrub,696,40.05302487,-105.5836767
shrub,697,40.05310772,-105.5839878
shrub,698,40.05287123,-105.5839878
shrub,699,40.05261294,-105.5838575
shrub,700,40.05268011,-105.5837724
shrub,701,40.05259411,-105.583951
shrub,702,40.05268083,-105.5835689
shrub,703,40.05253,-105.5833742
shrub,704,40.0526122,-105.5835089
shrub,705,40.05257891,-105.5835763
shrub,706,40.05243869,-105.5841609
shrub,707,40.05235431,-105.5842882
shrub,708,40.05242225,-105.5844143
shrub,709,40.05227347,-105.5843736
shrub,710,40.05224504,-105.5844184
shrub,711,40.05214408,-105.5843035
shrub,712,40.05219518,-105.5842791
shrub,713,40.05209277,-105.584559
shrub,714,40.05212448,-105.5844465
shrub,715,40.05190256,-105.5842967
shrub,716,40.05192747,-105.5841062
shrub,717,40.05186794,-105.5841767
shrub,718,40.0518245,-105.5844189
shrub,719,40.05179765,-105.5841887
shrub,720,40.05178328,-105.5842748
shrub,721,40.05176083,-105.5844315
shrub,722,40.05167704,-105.5842733
shrub,723,40.05161043,-105.584419
shrub,724,40.05164502,-105.5841257
shrub,725,40.05182064,-105.5839684
shrub,726,40.05225251,-105.5851692
shrub,727,40.05207164,-105.585119
shrub,728,40.0520445,-105.5849454
shrub,729,40.05194182,-105.5849314
shrub,730,40.05195356,-105.5852012
shrub,731,40.05183075,-105.5849793
shrub,732,40.0519142,-105.5850967
shrub,733,40.05196252,-105.5849665
shrub,734,40.05176741,-105.5850498
shrub,735,40.05188872,-105.5853193
shrub,736,40.05177707,-105.5852711
shrub,737,40.05185581,-105.5851209
shrub,738,40.05195484,-105.5855144
shrub,739,40.05187037,-105.585575
